Organization Id,Name,Country,Founded,Industry,Number of employees
522816eF8fdBE6d,Mckinney PLC,Sri Lanka,20th century,DAIRY,3930
70C7FBD7e6Aa3Ea,Cunningham LLC,Namibia,21th century,LIBRARY,7871
428B397eA2d7290,Ruiz-Walls,Iran,21th century,HOSPITAL / HEALTH CARE,3095
9D234Ae8Cc51C1c,"Parrish, Osborne and Clarke",British Indian Ocean Territory (Chagos Archipelago),20th century,SUPERMARKETS,5422
6CDCcdE3D0b7b44,"Diaz, Robles and Haley",Botswana,21th century,NANOTECHNOLOGY,3135
cdAD9BBF227ADAE,Keith PLC,Ecuador,20th century,ONLINE PUBLISHING,7233
0fe6F8Dd1Cf5e4d,Humphrey-Myers,Sierra Leone,21th century,PUBLISHING INDUSTRY,6022
ECC0FBd0dc4aEfc,Castaneda-Mcmahon,Zimbabwe,21th century,DEFENSE / SPACE,4580
e0E6cfAE68d08c9,Santos-Bowman,Ecuador,20th century,COMPUTER HARDWARE,3245
A7DdBb239A86689,Valdez-Estes,Timor-Leste,20th century,PLASTICS,1785
6a74D1bF2BC1d65,Young-Zavala,Ukraine,20th century,MUSIC,2985
849CEAb2f65c439,Gaines-Vang,Thailand,21th century,ONLINE PUBLISHING,3135
DcFCcD6B1a1A736,Larsen-Garrison,Turkey,21th century,BUILDING MATERIALS,7261
a8dc16ba1b00F3c,Taylor LLC,Kiribati,20th century,INFORMATION SERVICES,2427
2B6c7b5bEDdeD8d,Lindsey Ltd,Canada,20th century,CHEMICALS,6477
fD4BD3662B6F92D,Rich-Kelly,Colombia,20th century,INVESTMENT BANKING / VENTURE,4263
3F2A9d9c44af88f,Solis PLC,Suriname,21th century,E - LEARNING,2546
aeCF5B129e7De7d,Watkins-Gibson,Malta,21th century,ONLINE PUBLISHING,6796
20c0DFDE6D7553d,Yoder LLC,Andorra,21th century,MINING / METALS,7859
EDb2DAef8a234B0,Ramsey Ltd,Yemen,20th century,INVESTMENT MANAGEMENT / HEDGE FUND / PRIVATE EQUITY,3670
d4B566cF72D2A03,"Schaefer, Bates and Pugh",Swaziland,20th century,DESIGN,8044
1Cec2bE2f8a5c9f,Sosa-Lynn,Brazil,20th century,ARCHITECTURE / PLANNING,4905
92cAd11Ec4B67D5,"Nichols, Rodgers and Hall",Bangladesh,21th century,COMMERCIAL REAL ESTATE,1996
1ADB796E374b1F8,"Landry, Pena and Nash",Ghana,21th century,TEXTILES,4214
aaFDd69B4C71f31,George Ltd,Isle of Man,20th century,COMMERCIAL REAL ESTATE,9958
65bB9Baa2a168Ad,Greer-Watts,Timor-Leste,21th century,WHOLESALE,1884
da750fccbe1779f,"Archer, George and Sanders",Russian Federation,20th century,ENVIRONMENTAL SERVICES,6377
BB4fecbcED2e40D,Kelley-Lucero,Kenya,21th century,MENTAL HEALTH CARE,5154
F8cAa7DA8eaaFe0,"Gallegos, Pugh and Randall",Belarus,20th century,PHOTOGRAPHY,6153
144FBe6c3BDB10B,"Benjamin, Grant and Vincent",Moldova,20th century,VENTURE CAPITAL / VC,3528
eabCabc94B345DB,Richards PLC,Albania,20th century,PUBLIC SAFETY,7554
F5E75Fb6cB90ffE,"Brandt, Vasquez and Kennedy",Andorra,21th century,COSMETICS,7372
0D55efbaf06c4cc,Hebert-Spence,Paraguay,20th century,GLASS / CERAMICS / CONCRETE,1250
a2Ed1dDD45215C9,Zimmerman and Sons,Togo,20th century,AUTOMOTIVE,8480
